,0
1110,6979
1111,4639
1112,11414
1113,4127
1114,9599
1115,7462
1116,3600
1117,11717
1118,731
1119,13160
1120,10900
1121,1476
1122,9930
1123,1478
1124,13687
1125,8075
1126,6760
1127,4323
1128,5792
1129,4319
1130,5163
1131,6368
1132,1480
1133,7501
1134,1482
1135,4703
1136,521
1137,3932
1138,5392
1139,4366
1140,13547
1141,10582
1142,3920
1143,5932
1144,8593
1145,447
1146,6235
1147,598
1148,4018
1149,13119
1150,4266
1151,6863
1152,11716
1153,4302
1154,5773
1155,9897
1156,10061
1157,9435
1158,4790
1159,5000
1160,5285
1161,8365
1162,5295
1163,13166
1164,7053
1165,8044
1166,5788
1167,1485
1168,13185
1169,4890
1170,1487
1171,9822
1172,538
1173,5680
1174,6747
1175,8091
1176,10684
1177,13963
1178,7903
1179,9407
1180,1488
1181,1490
1182,5283
1183,8596
1184,8527
1185,13851
1186,570
1187,4316
1188,362
1189,2386
1190,1117
1191,12788
1192,1492
1193,1494
1194,1149
1195,1496
1196,7407
1197,4210
1198,4217
1199,3935
1200,5142
1201,9191
1202,12007
1203,1498
1204,1500
1205,6956
1206,13318
1207,10023
1208,1501
1209,287
1210,5423
1211,7120
1212,11923
1213,7091
1214,7067
1215,7085
1216,7069
1217,3697
1218,3701
1219,7089
1220,3695
1221,3680
1222,3684
1223,1504
1224,299
1225,1505
1226,1507
1227,3691
1228,10308
1229,5168
1230,6002
1231,13426
1232,5801
1233,1509
1234,7174
1235,1511
1236,1513
1237,1107
1238,1515
1239,10406
1240,6810
1241,1517
1242,1519
1243,263
1244,1524
1245,2322
1246,2721
1247,14003
1248,1528
1249,2460
1250,7768
1251,1530
1252,1532
1253,4825
1254,1534
1255,7406
1256,5627
1257,1536
1258,3719
1259,1538
1260,5102
1261,522
1262,1540
1263,606
1264,7799
1265,1542
1266,1544
1267,11309
1268,1548
1269,6944
1270,1550
1271,1552
1272,3795
1273,3798
1274,1554
1275,13797
1276,13792
1277,1556
1278,167
1279,2560
1280,2952
1281,9776
1282,5946
1283,10493
1284,1558
1285,4237
1286,6907
1287,11245
1288,7051
1289,12377
1290,410
1291,1560
1292,1562
1293,5602
1294,1564
1295,11325
1296,1566
1297,1568
1298,4190
1299,6820
1300,552
1301,1570
1302,1572
1303,1574
1304,1576
1305,10823
1306,1578
1307,5705
1308,1580
1309,13496
1310,8827
1311,32
1312,10111
1313,6963
1314,1582
1315,746
1316,5105
1317,593
1318,9232
1319,5691
1320,8804
1321,9353
1322,7692
1323,744
1324,9919
1325,6797
1326,4831
1327,1586
1328,10413
1329,4058
1330,1588
1331,12674
1332,3201
1333,418
1334,1590
1335,6079
1336,766
1337,4228
1338,373
1339,10223
1340,175
1341,1592
1342,13562
1343,8239
1344,11924
1345,1594
1346,1596
1347,845
1348,4122
1349,922
1350,8389
1351,1001
1352,2795
1353,1598
1354,488
1355,583
1356,7893
1357,8822
1358,11823
1359,9869
1360,8378
1361,1600
1362,396
1363,8935
1364,2205
1365,1602
1366,5327
1367,9144
1368,3766
1369,8212
1370,12941
1371,3583
1372,8421
1373,6593
1374,12967
1375,5137
1376,1603
1377,5796
1378,5199
1379,5521
1380,6916
1381,11275
1382,12458
1383,11747
1384,4221
1385,3606
1386,5121
1387,8083
1388,13228
1389,6450
1390,11749
1391,13593
1392,13356
1393,5957
1394,13650
1395,11787
1396,5059
1397,6293
1398,5739
1399,1128
1400,2368
1401,9072
1402,3301
1403,11288
1404,7654
1405,6901
1406,6317
1407,13938
1408,11432
1409,8605
1410,4124
1411,8433
1412,2829
1413,1605
1414,13551
1415,8614
1416,1103
1417,7904
1418,7472
1419,13602
1420,4452
1421,5192
1422,10102
1423,13967
1424,6458
1425,8292
1426,12147
1427,8144
1428,1607
1429,8833
1430,5372
